,lat,lon,name
357,40.63564,-74.01156,Cafe Mix Karaoke Lounge
358,40.728874,-73.957181,Tacos Lokos 4ever
359,40.76538,-74.14755,Reilly's Bar & Grill
360,40.6427213,-73.9786335,Denny's Pub
361,40.72282,-73.95411,The Lot Radio Kiosk
362,40.8579750061,-74.1474990845,Dingbatz
363,40.63547,-74.0099,Soccer Tavern
364,40.6935067,-73.9030978,Bridge and Tunnel Brewery
365,40.88707,-73.90452,Fenwicks Bar & Grill
366,40.7196481192,-74.0426802635,Groove On Grove
367,40.66996,-73.95808,Union Street Pub
368,40.7048542,-73.9024828,I O Cafe
369,40.779413,-74.133582,Hartleys Sports Bar & Games Room
370,40.7476,-73.88609,True Colors
371,40.768092,-73.790707,FLB's Pub
372,40.73076,-74.15109,Rio Lounge
373,40.65006,-74.00915,Tacos El Bronco
374,40.72698,-73.89407,Burke's Pub
375,40.7907409668,-73.8145599365,Shenanigans
376,40.628131,-74.01685,The Purple Rose
377,40.6796531677,-73.8499450684,Mike's Tavern
378,40.6386879,-73.9684367,Buffalo's Famous
379,40.87272,-73.88946,O'Shea's Emerald Bar
380,40.609511,-73.932163,Mariners Inn
381,40.8156623377,-74.1256071255,Locker Room Sports Bar
382,40.756031,-73.99398,NYC Fine Cigars
383,40.8000647309,-74.1165482998,Marty Gras
384,40.71384,-74.08868,Henry Wok
385,40.6647599014,-73.9768332284,Prospect Park Bandshell
386,40.79163,-74.13148,KTB Coffee Shop & Lounge
